ShadHap1	L002	C01	SC001	SC	Illumina	NovaSeq6000
ShadHap1	L002	C02	SC002	SC	Illumina	NovaSeq6000
ShadHap1	L002	C03	SC003	SC	Illumina	NovaSeq6000
ShadHap1	L002	C04	SC004	SC	Illumina	NovaSeq6000
ShadHap1	L002	C05	SC005	SC	Illumina	NovaSeq6000
ShadHap1	L002	C06	SC006	SC	Illumina	NovaSeq6000
ShadHap1	L002	C07	SC007	SC	Illumina	NovaSeq6000
ShadHap1	L002	C08	SC008	SC	Illumina	NovaSeq6000
ShadHap1	L002	C09	CO065	CO	Illumina	NovaSeq6000
ShadHap1	L002	C10	CO067	CO	Illumina	NovaSeq6000
ShadHap1	L002	C11	CO068	CO	Illumina	NovaSeq6000
ShadHap1	L002	C12	CO069	CO	Illumina	NovaSeq6000
ShadHap1	L002	C13	CO070	CO	Illumina	NovaSeq6000
ShadHap1	L002	C14	CO071	CO	Illumina	NovaSeq6000
ShadHap1	L002	C15	CO072	CO	Illumina	NovaSeq6000
ShadHap1	L002	C16	CO073	CO	Illumina	NovaSeq6000
ShadHap1	L002	C17	PO130	PO	Illumina	NovaSeq6000
ShadHap1	L002	C18	PO131	PO	Illumina	NovaSeq6000
ShadHap1	L002	C19	PO132	PO	Illumina	NovaSeq6000
ShadHap1	L002	C20	PO133	PO	Illumina	NovaSeq6000
ShadHap1	L002	C21	PO134	PO	Illumina	NovaSeq6000
ShadHap1	L002	C22	PO135	PO	Illumina	NovaSeq6000
ShadHap1	L002	C23	PO136	PO	Illumina	NovaSeq6000
ShadHap1	L002	C24	PO137	PO	Illumina	NovaSeq6000
ShadHap1	L002	C25	AW194	AW	Illumina	NovaSeq6000
ShadHap1	L002	C26	AW195	AW	Illumina	NovaSeq6000
ShadHap1	L002	C27	AW196	AW	Illumina	NovaSeq6000
ShadHap1	L002	C28	AW197	AW	Illumina	NovaSeq6000
ShadHap1	L002	C29	AW198	AW	Illumina	NovaSeq6000
ShadHap1	L002	C30	AW199	AW	Illumina	NovaSeq6000
ShadHap1	L002	C31	AW200	AW	Illumina	NovaSeq6000
ShadHap1	L002	C32	AW201	AW	Illumina	NovaSeq6000
ShadHap1	L002	C33	NM258	NM	Illumina	NovaSeq6000
ShadHap1	L002	C34	NM259	NM	Illumina	NovaSeq6000
ShadHap1	L002	C35	NM260	NM	Illumina	NovaSeq6000
